fecha_online,pais,conteo,conteo_MA,semana
0,Argentina,159,159.0,5 de enero
0,Brasil,1335,1335.0,5 de enero
0,Chile,165,165.0,5 de enero
0,Colombia,87,87.0,5 de enero
0,Costa Rica,15,15.0,5 de enero
0,Rep. Dominicana,7,7.0,5 de enero
0,Ecuador,114,114.0,5 de enero
0,Guatemala,35,35.0,5 de enero
0,Honduras,41,41.0,5 de enero
0,Nicaragua,14,14.0,5 de enero
0,Panamá,29,29.0,5 de enero
0,Perú,259,259.0,5 de enero
0,El Salvador,154,154.0,5 de enero
0,Uruguay,29,29.0,5 de enero
0,Venezuela,456,456.0,5 de enero
1,Argentina,397,278.0,12 de enero
1,Bolivia,2,2.0,12 de enero
1,Brasil,6146,3740.5,12 de enero
1,Chile,461,313.0,12 de enero
1,Colombia,286,186.5,12 de enero
1,Costa Rica,104,59.5,12 de enero
1,Rep. Dominicana,22,14.5,12 de enero
1,Ecuador,325,219.5,12 de enero
1,Guatemala,198,116.5,12 de enero
1,Honduras,126,83.5,12 de enero
1,Nicaragua,50,32.0,12 de enero
1,Panamá,78,53.5,12 de enero
1,Perú,573,416.0,12 de enero
1,Paraguay,5,5.0,12 de enero
1,El Salvador,347,250.5,12 de enero
1,Uruguay,39,34.0,12 de enero
1,Venezuela,2343,1399.5,12 de enero
2,Argentina,456,337.3333333333333,19 de enero
2,Bolivia,4,3.0,19 de enero
2,Brasil,6971,4817.333333333333,19 de enero
2,Chile,416,347.3333333333333,19 de enero
2,Colombia,659,344.0,19 de enero
2,Costa Rica,92,70.33333333333333,19 de enero
2,Rep. Dominicana,37,22.0,19 de enero
2,Ecuador,283,240.66666666666666,19 de enero
2,Guatemala,153,128.66666666666666,19 de enero
2,Honduras,102,89.66666666666667,19 de enero
2,mx,3,3.0,19 de enero
2,Nicaragua,38,34.0,19 de enero
2,Panamá,113,73.33333333333333,19 de enero
2,Perú,476,436.0,19 de enero
2,Paraguay,10,7.5,19 de enero
2,El Salvador,259,253.33333333333334,19 de enero
2,Uruguay,74,47.333333333333336,19 de enero
2,Venezuela,2019,1606.0,19 de enero
3,Argentina,430,427.6666666666667,26 de enero
3,Bolivia,11,5.666666666666667,26 de enero
3,Brasil,7528,6881.666666666667,26 de enero
3,Chile,442,439.6666666666667,26 de enero
3,Colombia,872,605.6666666666666,26 de enero
3,Costa Rica,101,99.0,26 de enero
3,Rep. Dominicana,46,35.0,26 de enero
3,Ecuador,292,300.0,26 de enero
3,Guatemala,192,181.0,26 de enero
3,Honduras,138,122.0,26 de enero
3,mx,16,9.5,26 de enero
3,Nicaragua,52,46.666666666666664,26 de enero
3,Panamá,86,92.33333333333333,26 de enero
3,Perú,436,495.0,26 de enero
3,Paraguay,14,9.666666666666666,26 de enero
3,El Salvador,289,298.3333333333333,26 de enero
3,Uruguay,75,62.666666666666664,26 de enero
3,Venezuela,2350,2237.3333333333335,26 de enero
4,Argentina,925,603.6666666666666,2 de febrero
4,Bolivia,5,6.666666666666667,2 de febrero
